status	SEER_Draw	Stage	coef_a_weibull	sd_a	coef_b_weibull	sd_b	coef_lts_fraction	sd_lts	lb_lts	ub_lts	coef_recur_month	sd_recur	lb_recur	ub_recur
75-84	Breast_HR_negative	IV	0.887784536269073	0.03147108879545771	-2.053449584918125	0.09727334395960395	0.12769851403015095	0.01823451239619145	0.09550679796483637	0.16645396378793892	0.002971650255855384	3.767565117214619e-4	0.0019488193346360286	0.003319274079549568
40-54	Breast_HR_positive	I	1.730610605601178	0.030406304941461428	-8.977579163155578	0.03253456767591896	0.9362593268436352	0.007238142956626955	0.9184754437302597	0.9446665820660769	5.416736340032538e-7	8.75151391631982e-7	1.8081793125702293e-8	3.2431759326493635e-6
40-54	Breast_HR_positive	II	1.8461119986650296	0.03590095924370273	-8.7657590975816575	0.12890913796109427	0.850521924308119	0.006118589242537039	0.833412808815112	0.857718484709136	3.230439647055695e-6	3.917868651503588e-6	2.1353966962655798e-7	1.436133061367638e-5
40-54	Breast_HR_positive	III	1.623782448263987	0.028229619253045388	-7.347478251437749	0.1056569528298289	0.6356978601110166	0.008308306596314976	0.6147366763129051	0.6489259526432591	1.4104423598523584e-5	2.048402733559678e-5	9.448239244610211e-7	7.095320405326145e-5
40-54	Breast_HR_positive	IV	1.1274032913558019	0.026140204430554592	-4.420806129405896	0.08959645385261891	0.13643242058211796	0.019881447138559414	0.1058393154063498	0.1771129339169703	2.789447984921933e-4	3.4910546563322273e-4	1.9562452995597566e-5	0.001195910477967871
55-64	Breast_HR_positive	I	1.598559239523227	0.030297991327419373	-8.96981286471585	0.043937265492221544	0.8974522832908548	0.012659788917974266	0.873118943632747	0.917704792706959	8.948264774081781e-7	2.1882808115774984e-6	2.2904047660907935e-9	7.559143434945749e-6
55-64	Breast_HR_positive	II	1.7050068262984959	0.04211523217871522	-8.38222359431292	0.14602422322510794	0.8033987631873407	0.013826172009433143	0.7613480299202745	0.822047765782591	3.360813637632522e-6	6.148219525159906e-6	1.981268800095757e-8	2.1707499295949628e-5
55-64	Breast_HR_positive	III	1.538935411480674	0.03468441405315598	-6.997216897441868	0.1299822712685308	0.5743096630402361	0.014679890255320514	0.5397562341538774	0.600482107345554	2.0065320526263095e-5	5.087188649934585e-5	5.227487350012332e-8	1.934776441496689e-4
55-64	Breast_HR_positive	IV	0.891167754049753	0.015066753046011397	-3.4455435036588704	0.04833797106137952	0.05136646482718188	0.013359600237909074	0.022309150192229878	0.0738649470775652	1.8899822387128786e-4	4.173071549863278e-4	4.78525436058452e-6	0.0016980575192406021
65-74	Breast_HR_positive	I	1.6240727462709175	0.04159373503230157	-8.93773847735333	0.07447131823334736	0.8607162310570204	0.023741899533196536	0.8061248713852313	0.9000222300283022	5.431722763326061e-6	7.305825169245658e-6	1.4036059579925868e-7	2.7466528757253247e-5
65-74	Breast_HR_positive	II	1.6090970657776795	0.0365441988250927	-7.9060218170897905	0.13046325743620923	0.776913484761337	0.014340126257493563	0.7465947124693996	0.8015756064463835	1.279433670466154e-5	1.8285203901613674e-5	6.670063695081034e-7	7.131257985113276e-5
65-74	Breast_HR_positive	III	1.320731531695981	0.03374167817373717	-6.14105985270643	0.11792685460801998	0.4851727081923017	0.031714906591139666	0.43251018504489047	0.563824512666284	8.885998081304073e-5	2.0021893159853578e-4	2.6491689690082357e-6	7.58330943807505e-4
